name,중량,칼로리,탄수화물,당류,지방,단백질,나트륨,source,basis
블랙올리브치즈 베이글,126.0,345.24,55.9944,7.005599999999999,8.001,10.0044,630.0,식약처음식,1인분
블루베리 베이글&허니월넛크림치즈,161.0,439.53000000000003,79.0027,18.998,6.0053,10.996300000000002,1109.29,식약처음식,1인분
소시지 인 치즈 베이글,108.0,305.64000000000004,,1.9980000000000002,,13.996800000000002,880.2,식약처음식,1인분
시금치바질&토마토크림치즈베이글,205.0,555.55,79.00699999999999,11.0085,20.008,15.005999999999998,1000.3999999999999,식약처음식,1인분
시금치바질 베이글&플레인크림치즈,200.0,546.0,77.0,11.0,19.0,15.0,990.0,식약처음식,1인분
시금치바질 베이글&플레인크림치즈(파베이크),199.0,565.16,76.9931,11.0047,20.994500000000002,15.0046,1000.97,식약처음식,1인분
씨앗 베이글,123.0,355.46999999999997,59.003099999999996,6.9987,7.995,10.9962,569.49,식약처음식,1인분
씨앗 베이글&솔티드카라멜크림치즈,200.0,610.0,80.0,15.0,25.0,16.0,960.0,식약처음식,1인분
어니언 베이글&고추장아찌크림치즈,200.0,516.0,71.0,11.0,19.0,14.0,1140.0,식약처음식,1인분
어니언치즈크림베이글,300.0,897.0,,34.8,76.19999999999999,8.7,678.0,식약처음식,1인분
쪽파 베이컨 크림치즈 베이글,136.0,403.92,47.6,9.248000000000001,18.224,12.512,519.52,식약처음식,1인분
쫀득쫀득소시지 베이글,111.0,315.24,22.999200000000002,2.9970000000000003,18.0042,13.997100000000001,680.4300000000001,식약처음식,1인분
콘치즈피자 베이글,144.0,325.44,40.9968,8.0064,13.003199999999998,11.9952,740.16,식약처음식,1인분
크림치즈 프레즐베이글,100.0,279.0,,8.0,,8.0,413.0,식약처음식,1인분
트러플치즈 베이글,110.0,300.3,55.00000000000001,5.995000000000001,3.4980000000000007,11.0,489.50000000000006,식약처음식,1인분
플레인 리코타 치즈 베이글,120.0,290.4,,9.0,,9.996,480.0,식약처음식,1인분
플레인 베이글&솔티드카라멜크림치즈,195.0,585.0,71.994,17.9985,25.9935,14.001,920.4,식약처음식,1인분
플레인 베이글&솔티드카라멜크림치즈(파베이크),199.0,650.73,79.003,19.9995,30.0092,15.0046,939.28,식약처음식,1인분
플레인 베이글&허니월넛크림치즈(파베이크),164.0,475.59999999999997,84.0008,11.004399999999999,9.0036,13.005199999999999,869.1999999999999,식약처음식,1인분
플레인 베이글(파베이크),120.0,360.0,65.004,8.004,6.0,9.996,660.0,식약처음식,1인분
기본좋은세서미베이글,119.0,329.63,,5.997599999999999,,9.996,470.04999999999995,식약처음식,1인분
기본좋은쌀베이글,118.0,319.78,,6.0062,,9.0034,469.64,식약처음식,1인분
기본좋은올리브베이글,118.0,319.78,,6.0062,,9.0034,560.5,식약처음식,1인분
데일리베이글,110.0,310.20000000000005,,12.001000000000001,,12.001000000000001,459.8,식약처음식,1인분
무화과 베이글,120.0,320.4,,20.004,,9.996,360.0,식약처음식,1인분
바질토마토크림치즈베이글,185.0,529.1,,9.009500000000001,,14.004500000000002,889.85,식약처음식,1인분
베이컨에그베이글,218.0,540.64,,11.99,,19.9906,1020.2400000000001,식약처음식,1인분
블랙올리브치즈 베이글(두번 쫄깃),126.0,345.24,,7.005599999999999,,10.0044,769.86,식약처음식,1인분
세가지치즈베이글,124.0,285.2,,6.0016,,10.9988,580.32,식약처음식,1인분
아메리칸 치즈 베이글,106.0,294.68,,3.9962000000000004,,9.995800000000001,520.46,식약처음식,1인분
통곡물베이글,125.0,360.0,,15.0,,15.0,540.0,식약처음식,1인분
플레인 베이글(두번 쫄깃),116.0,309.71999999999997,,7.006399999999999,,9.0016,590.4399999999999,식약처음식,1인분
대파베이컨 크림치즈 베이글,160.0,444.8,,7.008,,15.008000000000003,731.2,식약처음식,1인분
모카번 베이글,115.0,319.7,,9.0045,,9.0045,479.54999999999995,식약처음식,1인분
바질 베이글&크림치즈,141.0,414.53999999999996,,9.9969,,10.998,750.12,식약처음식,1인분
블루베리 크림치즈베이글,50.0,141.0,,11.0,,2.4,219.5,식약처음식,1인분
소금버터 베이글,100.0,300.0,,12.0,,10.0,1000.0,식약처음식,1인분
스트로베리 크림치즈베이글,50.0,140.0,,10.1,,2.4,218.5,식약처음식,1인분
올리브 베이글&크림치즈,141.0,404.66999999999996,,6.9936,,9.9969,689.49,식약처음식,1인분
쫀득베이글 블루베리,113.4,307.314,,10.9998,,9.003960000000001,373.086,식약처음식,1인분
쫀득베이글 어니언,113.4,315.252,,9.003960000000001,,10.001880000000002,410.50800000000004,식약처음식,1인분
쫀득베이글 플레인,113.4,310.716,,7.994700000000001,,0.39690000000000003,410.50800000000004,식약처음식,1인분
카야 크림치즈베이글,50.0,145.0,,6.8,,2.8,218.0,식약처음식,1인분
크랜베리 월넛 베이글,110.0,294.8,,7.997,,9.999,469.70000000000005,식약처음식,1인분
플레인 크림치즈베이글,50.0,142.5,,6.0,,3.0,265.0,식약처음식,1인분
B.E.L.T. 샌드위치,235.0,448.85,,7.003,,19.0115,923.5500000000001,식약처음식,1인분
B.L.T 샌드위치,241.0,542.25,72.9989,8.0012,18.9908,20.003000000000004,1209.8200000000002,식약처음식,1인분
BELT 클럽 샌드위치,190.0,440.79999999999995,,6.004,,17.993000000000002,959.5,식약처음식,1인분
BLT 샌드위치,309.0,750.87,,6.18,,24.72,1072.23,식약처음식,1인분
NEW 파니니 불고기 에그샌드위치,220.0,530.2,,4.994000000000001,,22.990000000000002,950.4000000000001,식약처음식,1인분
고르곤졸라 불고기 파니니샌드위치,200.0,456.0,,54.0,3.0,18.0,1250.0,식약처음식,1인분
그릭치킨 샌드위치,180.0,331.2,39.996,5.004,9.0,21.996000000000002,833.4,식약처음식,1인분
꽃살크래미 반미 샌드위치,269.0,486.89,68.0032,9.0115,,15.0102,981.85,식약처음식,1인분
단호박 에그 샌드위치,190.0,353.4,,6.004,,12.008,701.1,식약처음식,1인분
단호박크림치즈 샌드위치,274.0,495.94000000000005,64.0064,16.988000000000003,20.988400000000002,12.0012,649.38,식약처음식,1인분
대만식 샌드위치 에그듬뿍샌드,80.0,236.8,,4.0,,6.0,374.40000000000003,식약처음식,1인분
대만식 샌드위치 초코크림샌드,70.0,230.29999999999998,,11.998,,3.997,266.0,식약처음식,1인분
대만식 샌드위치 햄치즈,77.0,180.18,,3.9963,,9.0013,541.3100000000001,식약처음식,1인분
돌코롬 쫍지롱 와플 샌드샌드위치,210.0,804.3000000000001,,35.007000000000005,,14.994,480.90000000000003,식약처음식,1인분
딸기 에그 번 샌드위치,215.0,614.9,,28.294,,13.6955,778.3,식약처음식,1인분
떡갈비 치즈 곡물 샌드위치,207.0,316.71,,18.008999999999997,15.007499999999999,3.9950999999999994,749.3399999999999,식약처음식,1인분
룻티아 오 샌드 피넛샌드위치,80.0,315.20000000000005,,11.0,,5.0,270.40000000000003,식약처음식,1인분
먹물치킨 치아바타샌드위치,135.0,287.55,,1.998,,21.006000000000004,688.5,식약처음식,1인분
멕시칸 파니니샌드위치,218.0,575.5200000000001,,5.995,,29.9968,1199.0,식약처음식,1인분
멜팅치즈&비프 샌드위치,219.0,374.49,,4.9932,,25.0098,589.11,식약처음식,1인분
무화과 햄 바게트 샌드위치,140.0,410.2,,13.005999999999998,,11.004,840.0,식약처음식,1인분
미트 번 샌드위치,270.0,685.8000000000001,,19.602,,15.903,1784.7,식약처음식,1인분
바베큐 치킨 깜빠뉴 샌드위치,150.0,409.5,,4.005,,21.0,1638.0,식약처음식,1인분
바베큐치킨 파니니샌드위치,217.0,345.03,,17.989299999999997,,32.0075,1030.75,식약처음식,1인분
바질 토마토&치킨 샌드위치,195.0,399.75,,7.0005,,21.0015,661.05,식약처음식,1인분
반반마요 에그 감자 샌드위치,285.0,684.0,,9.006,,25.991999999999997,1576.05,식약처음식,1인분
베리머치감자 샌드위치,120.0,285.59999999999997,,8.004,,3.996,270.0,식약처음식,1인분
베리머치에그 샌드위치,105.0,340.2,,1.9949999999999999,,8.9985,380.1,식약처음식,1인분
베이컨체다 베이글샌드위치,168.0,475.44,,9.0048,,17.0016,910.56,식약처음식,1인분
브렉퍼스트 잉글리쉬 머핀샌드위치,150.0,390.0,,3.0,,18.0,820.5,식약처음식,1인분
브리젤라샌드위치,95.0,240.35,,15.998,,4.997,150.1,식약처음식,1인분
비프&에그 샌드위치,220.0,468.6,,4.0040000000000004,,22.990000000000002,849.2,식약처음식,1인분
샐러드빵샌드위치,130.0,240.5,,10.998000000000001,,8.996,449.8,식약처음식,1인분
소불고기 깜빠뉴 샌드위치,140.0,322.0,,2.002,,14.0,890.4,식약처음식,1인분
소프트 잠봉뵈르 샌드위치,175.0,484.75,,5.005,,15.995000000000001,960.75,식약처음식,1인분
스크램블에그 샌드위치,170.0,474.3,,7.004,,18.003,700.4,식약처음식,1인분
스파이시치킨샐러드랩샌드위치,233.0,449.69,,6.0114,,15.005200000000002,980.9300000000001,식약처음식,1인분
식물성대체육옴미니트샐러드랩샌드위치,245.0,485.1,,6.002500000000001,,17.003000000000004,1129.45,식약처음식,1인분
에그 반미 샌드위치,248.0,783.68,,10.912,,21.204,1371.44,식약처음식,1인분
에그 번 샌드위치,200.0,578.0,,15.7,,13.9,856.0,식약처음식,1인분
에그마요 반미 샌드위치,302.0,715.74,62.9972,2.9898,,24.009,773.12,식약처음식,1인분
오리지널 불고기 반미 샌드위치,302.0,549.64,64.9904,10.9928,,28.991999999999997,1135.52,식약처음식,1인분
올리브 베이컨 치아바타 샌드위치,198.0,560.34,,3.0096,,25.0074,1110.78,식약처음식,1인분
올리브치킨 파니니샌드위치,206.0,545.9,,1.0094,,33.0012,949.66,식약처음식,1인분
잉글리쉬 머핀 샌드위치,120.0,261.59999999999997,29.004,3.996,9.996,14.004,458.4,식약처음식,1인분
잠봉 멀티그레인 파니니샌드위치,200.0,496.0,,5.0,,16.0,590.0,식약처음식,1인분
잠봉뵈르 샌드위치,155.0,449.5,,3.999,,23.994,840.1,식약처음식,1인분
제주 흑돼지 아보카도 샌드위치,167.0,360.71999999999997,,5.995299999999999,,12.9926,960.25,식약처음식,1인분
제주당근에그마요 샌드위치,139.0,362.78999999999996,,2.7938999999999994,,13.899999999999999,486.49999999999994,식약처음식,1인분
참치클럽 샌드위치,304.0,595.84,,9.120000000000001,,24.32,948.48,식약처음식,1인분
추억의야채사라다빵샌드위치,414.0,666.54,,24.839999999999996,,16.56,1270.9799999999998,식약처음식,1인분
치즈 파니니샌드위치,78.0,219.96,,1.9968000000000001,,8.0028,429.78000000000003,식약처음식,1인분
치킨 클럽샌드위치,240.0,484.79999999999995,,4.992,,21.0,1111.2,식약처음식,1인분
칠리소시지바게트 샌드위치,238.0,554.54,,5.997599999999999,,25.9896,1099.56,식약처음식,1인분
콘 치즈 샌드위치,143.0,338.90999999999997,,6.4064000000000005,,7.6934,504.78999999999996,식약처음식,1인분
콘참치샌드샌드위치,80.0,160.8,,9.0,,4.0,259.2,식약처음식,1인분
콤비네이션 샌드위치,189.0,345.87,,9.998099999999999,,16.008300000000002,790.02,식약처음식,1인분
크랜베리 치킨 샌드위치,240.0,571.1999999999999,,22.992,,18.0,1111.2,식약처음식,1인분
크랜베리 치킨 치즈 샌드위치,194.0,426.8,,7.9928,,16.9944,888.52,식약처음식,1인분
크로크 무슈샌드위치,140.0,590.8,,4.997999999999999,,28.0,1108.8,식약처음식,1인분
클래식루벤 샌드위치,213.0,464.34,,4.0043999999999995,,29.010599999999997,1169.37,식약처음식,1인분
토마토모짜렐라 샌드위치,178.0,439.66,33.0012,5.0018,26.0058,18.9926,850.84,식약처음식,1인분
통밀후레쉬 샌드위치 (H),114.0,240.54,,6.999599999999999,,8.994599999999998,419.52,식약처음식,1인분
통밀후레쉬 샌드위치,228.0,481.08,,13.999199999999998,,17.989199999999997,839.04,식약처음식,1인분
트리플머쉬룸치즈 파니니샌드위치,226.0,370.64,,5.988999999999999,,16.995199999999997,680.26,식약처음식,1인분
파니니 바비큐 치킨샌드위치,220.0,444.40000000000003,,4.994000000000001,,17.006000000000004,979.0000000000001,식약처음식,1인분
페스토 햄 모짜렐라 샌드위치,185.0,449.55,,7.992000000000001,,24.9935,1010.1,식약처음식,1인분
페스토햄치즈 파니니샌드위치,186.0,500.34000000000003,,2.9946,,20.999399999999998,1080.66,식약처음식,1인분
페퍼로니 머쉬룸 깜빠뉴샌드위치,180.0,545.4,,1.0080000000000002,,28.998,889.2,식약처음식,1인분
페퍼로니 피자 샌드위치,150.0,430.5,,7.005,,19.995,454.5,식약처음식,1인분
프룻티아 오 샌드 스트로베리샌드위치,80.0,275.2,,8.0,,5.0,260.0,식약처음식,1인분
플랜트 햄&루꼴라 샌드위치,180.0,320.40000000000003,,7.992000000000001,,10.008,981.0,식약처음식,1인분
필리스테이크바게트 파니니샌드위치,220.0,499.40000000000003,,10.01,,17.996000000000002,1540.0000000000002,식약처음식,1인분
할라피뇨 치킨 샌드위치,181.0,305.89,,4.9956,,17.9914,714.95,식약처음식,1인분
할라피뇨스테이크바게트 샌드위치,244.0,595.36,,8.0032,,25.009999999999998,1381.04,식약처음식,1인분
햄 에그 번 샌드위치,218.0,621.3000000000001,,15.805000000000001,,17.0912,952.6600000000001,식약처음식,1인분
햄&루꼴라 올리브 샌드위치,190.0,374.29999999999995,,4.0089999999999995,,20.006999999999998,817.0,식약처음식,1인분
햄&에그 반미 샌드위치,269.0,441.15999999999997,58.9917,3.0128000000000004,,21.008899999999997,1016.8199999999999,식약처음식,1인분
햄앤치즈샌드샌드위치,75.0,210.75,,9.0,,6.0,335.25,식약처음식,1인분
햄앤치즈 샌드위치,80.0,215.20000000000002,,9.0,,6.0,278.40000000000003,식약처음식,1인분
햄에그 치아바타샌드위치,155.0,412.3,,5.0065,,19.995,739.35,식약처음식,1인분
햄치즈 샌드위치,254.0,469.90000000000003,70.0024,8.9916,15.0114,13.9954,1318.26,식약처음식,1인분
햄치즈 잉글리쉬머핀 샌드위치,120.0,310.8,,8.004,,14.004,526.8,식약처음식,1인분
훈제베이컨에그 반미 샌드위치,262.0,571.16,58.006800000000005,4.0086,,29.003400000000003,956.3000000000001,식약처음식,1인분
BELT 샌드위치,236.0,415.35999999999996,,8.000399999999999,,13.994799999999998,710.36,식약처음식,1인분
그릴치킨 당근라페 샌드위치,204.0,340.68,,12.9948,,20.9916,830.28,식약처음식,1인분
더블햄모짜렐라 샌드위치,210.0,403.20000000000005,,6.993,,14.994,819.0,식약처음식,1인분
리터샌드샌드위치,80.0,304.8,30.0,7.0,,8.0,220.0,식약처음식,1인분
매콤치킨랩 샌드위치,250.0,455.0,,34.0,,20.0,810.0,식약처음식,1인분
멜팅치즈 샌드위치,120.0,394.8,,6.0,,15.995999999999999,480.0,식약처음식,1인분
버터품은 설탕치즈 크로와상 샌드위치,80.0,234.4,26.0,8.0,16.0,7.0,368.0,식약처음식,1인분
불고기치즈 바게트샌드위치,165.0,460.34999999999997,,6.9959999999999996,,18.0015,750.75,식약처음식,1인분
불고기 파니니샌드위치,135.0,352.35,,2.9970000000000003,,11.002500000000001,576.45,식약처음식,1인분
살라미에멘탈 샌드위치,180.0,374.40000000000003,45.18000000000001,7.2,15.3,13.860000000000001,729.0,식약처음식,1인분
에그마요 소금빵샌드위치,153.0,396.27,,2.0043,,13.999500000000001,518.67,식약처음식,1인분
에그쉬림프 샌드위치,224.0,459.20000000000005,,12.006400000000001,,17.0016,1229.7600000000002,식약처음식,1인분
에그쏙텐더 샌드위치,325.0,594.75,,11.9925,,22.002499999999998,1218.75,식약처음식,1인분
에그튜나 샌드위치,268.0,680.72,,13.9896,,24.012800000000002,879.0400000000001,식약처음식,1인분
여봉 잠봉뵈르 먹어 크로와상 샌드위치,100.0,367.0,22.0,3.0,24.0,13.0,364.0,식약처음식,1인분
카야치즈토스트샌드위치,142.0,383.4,,20.9024,,9.9968,612.02,식약처음식,1인분
카야토스트샌드위치,138.0,394.67999999999995,,20.396399999999996,,6.9966,456.78,식약처음식,1인분
콰트로치즈 파니니샌드위치,120.0,342.0,44.82,5.0280000000000005,,16.572,693.6,식약처음식,1인분
크랜베리치킨 베이글 샌드위치,266.0,619.7800000000001,,18.0082,,23.9932,1010.8000000000001,식약처음식,1인분
토마토아이올리 샌드위치,195.0,430.95,39.975,4.095,21.84,18.525,680.55,식약처음식,1인분
통밀튜나 샌드위치,242.0,653.4,,19.843999999999998,,19.843999999999998,892.98,식약처음식,1인분
트리플 치즈 포카치아샌드위치,70.0,212.79999999999998,,1.001,,10.997,359.79999999999995,식약처음식,1인분
페퍼로니 파니니샌드위치,120.0,366.0,41.196,3.6359999999999997,,10.895999999999999,469.2,식약처음식,1인분
피크닉튜나 샌드위치,243.0,609.9300000000001,,14.9931,,19.998900000000003,750.87,식약처음식,1인분
핫치킨 파니니샌드위치,120.0,346.8,44.97599999999999,7.332,,17.664,720.0,식약처음식,1인분
햄&에그 로메인 샌드위치,264.0,535.9200000000001,,10.005600000000001,,26.004,979.44,식약처음식,1인분
햄에그 파니니샌드위치,155.0,471.2,,3.999,,19.995,697.5,식약처음식,1인분
햄치즈잉글리시 머핀샌드위치,110.0,345.40000000000003,47.388000000000005,5.159000000000001,,13.332,663.3000000000001,식약처음식,1인분
햄치토 크로와상 샌드위치,230.0,315.09999999999997,29.002999999999997,6.991999999999999,18.997999999999998,8.004,568.0999999999999,식약처음식,1인분
B.E.L.T샌드위치,236.0,429.52,,8.9916,,18.998,988.8399999999999,식약처음식,1인분
NEW아삭햄치즈패스트리샌드위치,219.0,459.9,,10.993799999999998,,13.008600000000001,880.38,식약처음식,1인분
TLJ오리지널BELT샌드위치,226.0,454.25999999999993,,7.005999999999999,,15.006399999999998,750.3199999999999,식약처음식,1인분
V.E.L.T샌드위치,288.0,515.52,,11.0016,,19.9872,1120.32,식약처음식,1인분
고소한햄에그샌드위치,273.0,570.57,,6.006,,25.006800000000002,1160.25,식약처음식,1인분
그릴치킨&당근라페샌드위치,204.0,344.76,,10.9956,,20.9916,830.28,식약처음식,1인분
기본좋은베이글샌드위치,226.0,424.87999999999994,,8.000399999999999,,16.995199999999997,969.54,식약처음식,1인분
레드타코치킨샌드위치,249.0,445.71000000000004,,13.993800000000002,,18.002700000000004,961.1400000000001,식약처음식,1인분
바삭몬테크리스토샌드위치,169.0,485.03,,17.0014,,15.007200000000001,689.52,식약처음식,1인분
바질치킨통밀샌드위치,190.0,359.09999999999997,,14.003,,15.998,560.5,식약처음식,1인분
반숙란샌드위치,286.0,646.36,,16.016,,29.0004,989.56,식약처음식,1인분
불고기가득샌드위치,220.0,451.00000000000006,,11.990000000000002,,15.994,869.0000000000001,식약처음식,1인분
불고기반미샌드위치,178.0,384.48,,12.994,,10.0036,740.48,식약처음식,1인분
쉬림프아삭패스트리샌드위치,186.0,500.34000000000003,,10.0068,,14.991600000000002,639.84,식약처음식,1인분
쉬림프에그마요샌드위치,252.0,514.08,,11.995199999999999,,20.0088,829.08,식약처음식,1인분
씨앗곡물튜나샌드샌드위치,138.0,394.67999999999995,,6.002999999999999,,19.002599999999997,590.64,식약처음식,1인분
잠봉뵈르소금버터롤샌드위치,121.0,454.96,,9.9946,,20.0013,750.1999999999999,식약처음식,1인분
차지키레드치킨샌드샌드위치,151.0,289.92,,7.006399999999999,,20.0075,560.21,식약처음식,1인분
치즈어니언치킨샌드위치,245.0,610.0500000000001,,11.0005,,19.992,1180.9,식약처음식,1인분
치킨&아보카도샌드위치,255.0,525.3,,7.012499999999999,,32.997,979.1999999999999,식약처음식,1인분
치킨페스토곡물샌드위치,262.0,605.22,,11.004000000000001,,35.9988,1239.26,식약처음식,1인분
크랜베리치킨패스트리샌드위치,204.0,569.16,,12.9948,,15.9936,809.88,식약처음식,1인분
크리미크랩샌드위치,267.0,544.68,,17.0079,,11.9883,1369.71,식약처음식,1인분
클래식잠봉뵈르샌드위치,180.0,565.2,,1.9980000000000002,,25.002000000000002,950.4,식약처음식,1인분
통밀크랜베리치킨샌드위치,242.0,600.16,,18.0048,,19.9892,1040.6,식약처음식,1인분
함박미니버거샌드위치,228.0,506.15999999999997,,17.419199999999996,,20.588399999999996,1281.36,식약처음식,1인분
햄&치즈라우겐샌드위치,163.0,440.09999999999997,,5.004099999999999,,17.000899999999998,1080.6899999999998,식약처음식,1인분
햄&포테이토샐러드샌드위치,330.0,679.8,,19.008,,20.988,1171.5,식약처음식,1인분
햄치즈에그샌드위치,250.0,490.0,,12.0,,14.0,820.0,식약처음식,1인분
햄치즈토마토치아바타샌드위치,200.0,330.0,,8.0,,14.0,700.0,식약처음식,1인분
B.L.T.E 샌드위치,300.0,561.0,,14.01,,23.009999999999998,1416.0,식약처음식,1인분
게살듬뿍모닝 샌드위치,90.0,126.0,8.334,2.952,8.703,3.231,320.40000000000003,식약처음식,1인분
리코타 딸기 샌디샌드위치,320.0,720.0,,57.6,,10.816,409.6,식약처음식,1인분
모르타델라 포카챠 샌드위치,120.0,284.4,,0.9959999999999999,,5.004,620.4,식약처음식,1인분
바베큐치킨 바게트샌드샌드위치,140.0,376.59999999999997,44.001999999999995,9.001999999999999,,18.003999999999998,537.5999999999999,식약처음식,1인분
버터버터 마늘 크로크무슈샌드위치,150.0,441.0,52.005,7.995,16.995,19.005,961.5,식약처음식,1인분
버터버터 에그베이컨 샌드위치,115.0,323.15,19.9985,7.003499999999999,23.0,9.0045,802.6999999999999,식약처음식,1인분
부드러운 에그마요 샌드위치,240.0,609.6,,7.008,,19.008,1029.6,식약처음식,1인분
불고기더블치즈 샌드위치,258.0,647.58,,14.0094,,31.0116,1261.6200000000001,식약처음식,1인분
불고기포카치아샌드위치,170.0,409.7,,2.295,,16.507,790.5,식약처음식,1인분
블루베리 리터샌드샌드위치,70.0,247.1,26.999,11.004,,3.997,329.7,식약처음식,1인분
사라다빵샌드위치,187.5,386.25,,8.00625,,9.0,498.75,식약처음식,1인분
스피니치불고기 샌드위치,255.0,731.8499999999999,,18.002999999999997,,37.995,1634.55,식약처음식,1인분
에그 마요 샌드위치,250.0,547.5,,5.0,,25.0,830.0,식약처음식,1인분
에그 베이컨 과카몰리 샌드위치,180.0,392.40000000000003,,3.9960000000000004,,18.0,855.0,식약처음식,1인분
에그 사라다빵샌드위치,120.0,357.59999999999997,32.004,8.004,,11.004,422.4,식약처음식,1인분
에그&올리브 베이글 샌드위치,240.0,434.4,,4.992,,15.0,1269.6,식약처음식,1인분
에그듬뿍모닝 샌드위치,90.0,170.1,11.268,3.51,7.02,4.914,84.60000000000001,식약처음식,1인분
에그멜팅 불고기 파니니샌드위치,210.0,504.0,,6.993,,19.992,1029.0,식약처음식,1인분
올리브 베이컨 파니니샌드위치,198.0,560.34,,3.0096,,25.0074,1110.78,식약처음식,1인분
이탈리안 클래식 파니니샌드위치,175.0,385.0,,2.9924999999999997,,18.0075,899.5,식약처음식,1인분
치즈 에그 브리오슈샌드위치,140.0,387.79999999999995,,9.001999999999999,,14.0,840.0,식약처음식,1인분
치킨 베이컨 멀티그레인 샌드위치,215.0,610.6,,9.0085,,21.005499999999998,679.4,식약처음식,1인분
치킨 샐러드 통밀 샌드위치,235.0,430.05,,12.008500000000002,,16.0035,860.1,식약처음식,1인분
치킨 치폴레 포카챠 샌드위치,150.0,300.0,,1.0050000000000001,,13.995000000000001,660.0,식약처음식,1인분
치킨브레스트 곡물 샌드위치,230.0,430.09999999999997,,8.993,,20.009999999999998,880.9,식약처음식,1인분
카야크림 리터샌드샌드위치,80.0,231.20000000000002,29.0,15.0,,5.0,330.40000000000003,식약처음식,1인분
쿠키 & 크림 샌디샌드위치,308.0,800.8000000000001,,53.3148,,11.088000000000001,520.52,식약처음식,1인분
티라미수 샌디샌드위치,297.0,739.5300000000001,,48.708,,11.493900000000002,445.50000000000006,식약처음식,1인분
페스토 햄 파니니샌드위치,185.0,449.55,,7.992000000000001,,24.9935,1010.1,식약처음식,1인분
페퍼로니 샌드위치,150.0,397.5,,3.0,,19.995,577.5,식약처음식,1인분
페퍼로니포카치아샌드위치,185.0,434.75,,9.009500000000001,,13.005500000000001,738.1500000000001,식약처음식,1인분
포테이토 사라다빵샌드위치,120.0,319.2,44.004,9.996,,6.0,333.59999999999997,식약처음식,1인분
프로방스 바질 치킨 파니니샌드위치,210.0,405.3,,4.998,,19.005000000000003,928.2,식약처음식,1인분
할라피뇨 시저 치킨 파니니샌드위치,180.0,415.8,,1.9980000000000002,,19.998,1200.6000000000001,식약처음식,1인분
핫치킨 바게트샌드샌드위치,140.0,411.59999999999997,43.007999999999996,7.994,,18.003999999999998,628.5999999999999,식약처음식,1인분
닭가슴살 프레시 샌드위치,237.0,421.86,,9.006,,20.9982,888.75,식약처음식,1인분
햄 에그 크라상 샌드위치,165.5,360.79,,4.9981,,13.0083,789.4350000000001,식약처음식,1인분
햄 치즈 크라상 샌드위치,150.0,379.5,,1.995,,15.0,990.0,식약처음식,1인분
햄&치즈 프레시 샌드위치,217.0,414.46999999999997,,3.9928,,19.0092,833.28,식약처음식,1인분
햄치즈 리터샌드샌드위치,75.0,242.25,23.0025,8.0025,,5.0024999999999995,387.75,식약처음식,1인분
햄치즈 멀티그레인 파니니샌드위치,190.0,440.79999999999995,,6.004,,15.01,499.7,식약처음식,1인분
달콤고소한밤롤브레드소보로빵,235.0,681.5,,30.55,,16.45,846.0,식약처음식,1인분
땅콩크림 소보로소보로빵,102.0,465.12,,21.0018,,7.9968,289.68,식약처음식,1인분
맘모스 딸기소보로빵,130.0,469.3,,26.0,,10.4,670.8000000000001,식약처음식,1인분
맘모스브레드 (H)소보로빵,170.0,625.6,,36.006,,12.001999999999999,469.2,식약처음식,1인분
맘모스빵소보로빵,250.0,870.0,,46.0,,18.0,770.0,식약처음식,1인분
밤롤브레드소보로빵,220.0,660.0,,28.6,,15.400000000000002,858.0000000000001,식약처음식,1인분
생크림 소보로소보로빵,93.0,385.02000000000004,,17.000400000000003,,7.0029,300.39000000000004,식약처음식,1인분
생크림 소보루소보로빵,85.0,329.8,,15.997,,7.004,409.7,식약처음식,1인분
소보루빵소보로빵,72.0,275.76,,13.003199999999998,,6.9984,414.0,식약처음식,1인분
스위트밀크브레드소보로빵,570.0,1738.5,,102.60000000000001,,45.6,1995.0,식약처음식,1인분
쑥이듬뿍 맘모스소보로빵,310.0,1026.1000000000001,,59.98500000000001,,24.986,629.3000000000001,식약처음식,1인분
쫄깃한 찰떡맘모스 (1/4)소보로빵,80.0,270.40000000000003,,11.0,,5.0,210.4,식약처음식,1인분
쫄깃한 찰떡맘모스 (1/8)소보로빵,40.0,135.20000000000002,,6.0,,3.0,105.2,식약처음식,1인분
쫄깃한 찰떡맘모스 (H)소보로빵,160.0,540.8000000000001,,22.0,,11.008000000000001,409.6,식약처음식,1인분
쫄깃한 찰떡맘모스소보로빵,320.0,1084.8,,44.992000000000004,,22.016000000000002,828.8000000000001,식약처음식,1인분
찹쌀숨은 소보루소보로빵,300.0,870.0,,33.0,,24.0,1191.0,식약처음식,1인분
튀김 소보로소보로빵,85.0,334.9,,18.997500000000002,,6.0009999999999994,149.6,식약처음식,1인분
PB달콤한크림정통소보루소보로빵,110.0,400.40000000000003,50.996,17.996000000000002,18.997,7.997,259.6,식약처음식,1인분
PB정통소보루소보로빵,80.0,310.40000000000003,44.0,15.0,12.0,7.0,240.0,식약처음식,1인분
밤소보루맘모스소보로빵,280.0,806.4,134.988,50.007999999999996,25.003999999999998,19.991999999999997,560.0,식약처음식,1인분
밤소보루맘모스 (H)소보로빵,140.0,404.59999999999997,67.00399999999999,25.003999999999998,11.998,9.001999999999999,280.0,식약처음식,1인분
소보루생크림빵소보로빵,110.0,390.50000000000006,44.0,15.004000000000001,20.999000000000002,6.996000000000001,239.8,식약처음식,1인분
